Movie_Title,0
Four Rooms,0
Star Wars,1
Finding Nemo,2
Forrest Gump,3
American Beauty,4
Dancer in the Dark,5
The Fifth Element,6
Metropolis,7
My Life Without Me,8
Pirates of the Caribbean: The Curse of the Black Pearl,9
Kill Bill: Vol. 1,10
Jarhead,11
Apocalypse Now,12
Unforgiven,13
The Simpsons Movie,14
Eternal Sunshine of the Spotless Mind,15
Amores perros,16
Pirates of the Caribbean: Dead Man's Chest,17
A History of Violence,18
2001: A Space Odyssey,19
8 Mile,20
Absolute Power,21
Brazil,22
Walk the Line,23
Million Dollar Baby,24
Billy Elliot,25
American History X,26
War of the Worlds,27
Mars Attacks!,28
Before Sunrise,29
Memento,30
Blade Runner,31
Hero,32
Before Sunset,33
Open Water,34
Raiders of the Lost Ark,35
Indiana Jones and the Temple of Doom,36
Indiana Jones and the Last Crusade,37
Beverly Hills Cop,38
Armageddon,39
Beverly Hills Cop II,40
Gladiator,41
"Lock, Stock and Two Smoking Barrels",42
Taxi Driver,43
Run Lola Run,44
Back to the Future,45
Predator,46
Snatch,47
Scarface,48
Pretty Woman,49
The Big Lebowski,50
Match Point,51
The Untouchables,52
Charlie and the Chocolate Factory,53
The Lord of the Rings: The Fellowship of the Ring,54
The Lord of the Rings: The Two Towers,55
The Lord of the Rings: The Return of the King,56
Princess Mononoke,57
Spirited Away,58
"O Brother, Where Art Thou?",59
Groundhog Day,60
Donnie Darko,61
Brokeback Mountain,62
"Crouching Tiger, Hidden Dragon",63
Akira,64
Star Trek: The Motion Picture,65
Lost in Translation,66
Star Trek II: The Wrath of Khan,67
The Dark Knight,68
Star Trek III: The Search for Spock,69
Ocean's Eleven,70
Edward Scissorhands,71
Ocean's Twelve,72
Back to the Future Part II,73
K-PAX,74
Star Trek IV: The Voyage Home,75
Predator 2,76
28 Days Later,77
Star Trek V: The Final Frontier,78
"20,000 Leagues Under the Sea",79
Star Trek VI: The Undiscovered Country,80
Saw,81
The Fisher King,82
The Interpreter,83
Minority Report,84
The Good German,85
Jackie Brown,86
Lucky Number Slevin,87
Sin City,88
Sin City: A Dame to Kill For,89
Star Trek: Generations,90
Back to the Future Part III,91
Braveheart,92
Star Trek: First Contact,93
Star Trek: Insurrection,94
Star Trek: Nemesis,95
Mean Streets,96
Hotel Rwanda,97
Dead Poets Society,98
Saw III,99
Saw II,100
Indiana Jones and the Kingdom of the Crystal Skull,101
The Terminator,102
Volver,103
Rebecca,104
Boys Don't Cry,105
The Outsiders,106
Syriana,107
Stand by Me,108
The Godfather,109
Some Like It Hot,110
The Godfather: Part II,111
